title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
the lady in the van,2015,"The Lady in the Van tells the true story of Alan Bennett's strained friendship with Miss Mary Shepherd, an eccentric homeless woman whom Bennett befriended in the 1970s before allowing her temporarily to park her Bedford van in the driveway of his Camden home. She stayed there for 15 years. As the story develops Bennett learns that Miss Shepherd is really Margaret Fairchild (died 1989), a former gifted pupil of the pianist Alfred Cortot. She had played Chopin in a promenade concert, tried to become a nun, was committed to an institution by her brother, escaped, had an accident when her van was hit by a motorcyclist for which she believed herself to blame, and thereafter lived in fear of arrest.",man form unexpected bond transient woman living van parked driveway,action biography comedy drama,tt3722070,OA8tMziteZM,6.7,Nicholas Hytner,action biography comedy drama
the deep blue sea,2011,The wife of a British Judge is caught in a self-destructive love affair with a Royal Air Force pilot.,wife british judge caught self destructive love affair royal air force pilot,action drama romance,tt1700844,DmphOgeyk70,6.3,Terence Davies,action drama romance
i believe in miracles,2015,"The story of the history-making Nottingham Forest team that won back-to-back European Cups in 1979 and 1980, led by the mercurial Brian Clough and his assistant Peter Taylor.",story history making nottingham forest team back back european cup 1979 1980 led mercurial brian clough assistant peter taylor,action documentary history sport,tt5098836,EgENKpwZm3o,7.8,Jonny Owen,action documentary history sport
deception,2008,"Cat and mouse. Jonathan McQuarry is an auditor in Manhattan, moving from office to office checking their books. While working late, a smooth and well-dressed man named Wyatt Bose chats Jonathan up, offers him a joint, and soon they're pals. When their cell phones are accidentally swapped, Jonathan answers Wyatt's phone to a series of women asking if he's free tonight. Jonathan discovers it's a sex club: busy powerful people meet each other anonymously in hotels. Jonathan falls for one of the club members, whom he knows only as ""S,"" whom he's also seen on a subway. When she goes missing, patterns emerge and Jonathan faces demands involving violence and lots of money.",accountant introduced mysterious sex club known list lawyer friend new world soon becomes prime suspect woman disappearance multi million dollar heist,action crime drama mystery thriller,tt0800240,ecUgoSAPhEQ,6.1,Marcel Langenegger,action crime drama mystery thriller
the peanuts movie,2015,"Charlie Brown, Snoopy, and the whole gang are back in a heartwarming story. A new girl with red hair moves in across the street, and Charlie Brown falls in love. Now he tries to impress the red haired girl to make her feel like he's a winner, but Charlie Brown just can't do anything right. At the same time, Snoopy is writing a love story about his continuing battles with The Red Baron. Then Charlie Brown has accomplished something never done before. He gets a perfect score on his standardized test, but there has been a mistake. Should he tell the truth and risk losing all of his newfound popularity? Can Charlie Brown get the girl to love him or will he go back to being a nothing?",snoopy embarks upon greatest mission team take sky pursue arch nemesis best pal charlie brown begin epic quest back home win love life,action adventure animation comedy family,tt2452042,zQpUQPrAfQM,7.1,Steve Martino,action adventure animation comedy family
victor frankenstein,2015,"James McAvoy and Daniel Radcliffe star in a dynamic and thrilling twist on a legendary tale. Radical scientist Victor Frankenstein (McAvoy) and his equally brilliant protégé Igor Strausman (Radcliffe) share a noble vision of aiding humanity through their groundbreaking research into immortality. But Victor's experiments go too far, and his obsession has horrifying consequences. Only Igor can bring his friend back from the brink of madness and save him from his monstrous creation.",told igor perspective see troubled young assistant dark origin redemptive friendship young medical student viktor von frankenstein become eyewitness emergence frankenstein became man legend know today,action drama horror sci-fi thriller,tt1976009,cvESrJ5GdHc,6.0,Paul McGuigan,action drama horror sci-fi thriller
standoff,2016,"Carter (Thomas Jane), a troubled veteran, gets a chance at redemption by protecting a 12-year-old girl from an assassin (Laurence Fishburne) after she witnesses a murder. Holding a shotgun with a single shell, he engages in physical and psychological warfare in a desperate fight for the girl's life.",carter thomas jane troubled veteran get chance redemption protecting year old girl assassin laurence fishburne witness murder holding shotgun,action crime drama thriller,tt3703908,TEavB4f2tD0,6.0,Adam Alleca,action crime drama thriller
racing extinction,2015,"Scientists predict we may lose half the species on the planet by the end of the century. They believe we have entered the sixth major extinction event in Earth's history. Number five took out the dinosaurs. This era is called the Anthropocene, or 'Age of Man', because the evidence shows that humanity has sparked this catastrophic loss. We are the only ones who can stop it as well. The Oceanic Preservation Society, the group behind the Academy Award® winning film THE COVE, is back for ""Racing Extinction"". Along with some new innovators, OPS will bring a voice to the thousands of species on the very edge of life. An unlikely team of activists is out to expose the two worlds endangering species across the globe. The first threat to the wild comes from the international trade of wildlife. Bogus markets are being created at the expense of creatures who have survived on this planet for millions of years. The other threat is all around us, hiding in plain sight. There's a hidden world that ...",documentary follows undercover activist trying stave man made mass extinction,action adventure documentary thriller,tt1618448,MwxyrLUdcss,8.3,Louie Psihoyos,action adventure documentary thriller
monster's ball,2001,"Set in the Southern United States, 'Monster's Ball' is a tale of a racist white man, Hank, who falls in love with a black woman named Leticia. Ironically Hank is a prison guard working on Death Row who executed Leticia's husband. Hank and Leticia's interracial affair leads to confusion and new ideas for the two unlikely lovers.",family tragedy racist prison guard reexamines attitude falling love african american wife last prisoner executed,action drama romance,tt0285742,Y-94HNhLJBs,7.1,Marc Forster,action drama romance
the dressmaker,2015,"Based on Rosalie Ham's best selling novel, The Dressmaker is the story of femme fatale Tilly Dunnage who returns to her small home town in the country to right the wrongs of the past. A stylish drama with comic undertones about love, revenge and haute couture.",glamorous woman return small town rural australia sewing machine haute couture style transforms woman exacts sweet revenge wrong,action comedy drama,tt2910904,uPCyjqGH914,7.1,Jocelyn Moorhouse,action comedy drama
zoolander,2001,"Derek Zoolander is VH1's three time male model of the year, but when Hansel wins the award instead, Zoolander's world becomes upside down. His friends disappear, his father is disappointed in him, and he feels that he's not good as a model anymore. But when evil fashion guru Mugatu hires Zoolander, he thinks his life has turned back round again, that is until he finds out that Mugatu has actually brainwashed him to kill the Prime Minister of Malaysia. Can Zoolander and his new friends find out how to prevent the incident before it's too late?",end career clueless fashion model brainwashed kill prime minister malaysia,action comedy,tt0196229,MaEeSJZYkpY,6.6,Ben Stiller,action comedy
in the heart of the sea,2015,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance. The real-life maritime disaster would inspire Herman Melville's Moby-Dick. But that told only half the story. ""In the Heart of the Sea"" reveals the encounter's harrowing aftermath, as the ship's surviving crew is pushed to their limits and forced to do the unthinkable to stay alive. Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",recounting new england whaling ship sinking giant whale 1820 experience later inspired great novel moby dick,action adventure biography drama history,tt1390411,K-H35Mpj4uk,6.9,Ron Howard,action adventure biography drama history
the angels' share,2012,"This bitter sweet comedy follows protagonist Robbie as he sneaks into the maternity hospital to visit his young girlfriend Leonie and hold his newborn son Luke for the first time. Overwhelmed by the moment, he swears that Luke will not have the same tragic life he has had. Escaping a prison sentence by the skin of his teeth, he's given one last chance......While serving a community service order, he meets Rhino, Albert and Mo who, like him, find it impossible to find work because of their criminal records. Little did Robbie imagine how turning to drink might change their lives - not cheap fortified wine, but the best malt whiskies in the world. Will it be 'slopping out' for the next twenty years, or a new future with 'Uisge Beatha' the 'Water of Life?' Only the angels know........",narrowly avoiding jail new dad robbie vow turn new leaf visit whisky distillery inspires mate seek way hopeless life,action comedy crime drama,tt1924394,NcQIvmR21VU,7.0,Ken Loach,action comedy crime drama
brooklyn,2015,"Ireland, early-1950s. Eilis Lacey is a young woman working in a grocery shop. She has greater ambitions and moves to Brooklyn, New York, leaving her mother and sister, Rose, behind. She is terribly homesick but eventually settles down, finding a job, studying to be a bookkeeper and meeting a nice young man, Tony. Things are going well but then she learns that Rose has died, and decides to return to Ireland, temporarily. She and Tony hastily get married and then she sets off back to Ireland, alone. Life is about to get complicated...",irish immigrant land 1950s brooklyn quickly fall romance local past catch however must choose two country life exist within,action drama romance,tt2381111,1ekxPFTZm1Y,7.5,John Crowley,action drama romance
carol,2015,"In an adaptation of Patricia Highsmith's seminal novel The Price of Salt, CAROL follows two women from very different backgrounds who find themselves in an unexpected love affair in 1950s New York. As conventional norms of the time challenge their undeniable attraction, an honest story emerges to reveal the resilience of the heart in the face of change. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient marriage. As an immediate connection sparks between them, the innocence of their first encounter dims and their connection deepens. While Carol breaks free from the confines of marriage, her husband (Kyle Chandler) begins to question her competence as a mother as her involvement with Therese and close relationship with her best friend Abby (Sarah Paulson) come to light.",aspiring photographer develops intimate relationship older woman 1950s new york,action drama romance,tt2402927,679wr31SXWk,7.2,Todd Haynes,action drama romance
it's all gone pete tong,2004,"Its All Gone Pete Tong is a comedy following the tragic life of legendary Frankie Wilde. The story takes us through Frankie's life from one of the best DJ's alive, through subsequent battle with a hearing disorder, culminating in his mysterious disappearance from the scene. A genius in his own right, he clawed his way to the top of the DJ ranks, now living the opulent life of a superstar, he resides in his trophy villa in Ibiza with his trophy wife. This is when tragedy hits. Due to a hearing disorder he is rapidly going deaf with only one functioning ear to complete the new Ibiza season. How is he doing behind the decks? Horrible. How is he doing in the studio where he produces his remixes? Frankie dives into a low period, struggling with deafness in utter depression. After a year of locking himself away he emerges on the other side with a fresh attitude towards his affliction. He accepts his deafness and learns to function without sound. Will Frankie make it back to the DJ booth? ...",famous ibiza club scene find alcohol drug fueled party life threatened progressive loss hearing,action biography comedy drama music,tt0388139,WGsCzaI5qrM,7.4,Michael Dowse,action biography comedy drama music
the night before,2015,"Ethan (Joseph Gordon-Levitt), Isaac (Seth Rogen) and Chris (Anthony Mackie) have been friends since childhood, and for a decade, their yearly Christmas Eve reunion has been an annual night of debauchery and hilarity. Now that they're entering adulthood, the tradition is coming to an end, and to make it as memorable as possible, they set out to find the Nutcracka Ball - the Holy Grail of Christmas parties.",christmas eve three lifelong friend spend night new york city looking holy grail christmas party,action adventure comedy fantasy,tt3530002,Evebt5WVSS0,6.4,Jonathan Levine,action adventure comedy fantasy
the danish girl,2015,"Copenhagen, Denmark, 1926. Einar Wegener (played by Eddie Redmayne) and his wife Gerda (Alicia Vikander) are a happily married couple. Both are artists, Einar preferring landscapes and she portraits. One day Einar poses for a portrait of Gerda's while wearing a dress. This is initially done as a lark, as is the later attendance at a party dressed as a woman. However, Einar soon discovers that she is in fact a woman and over time prefers being Lili. At first she and Gerda try to have her situation ""cured"" but this leads nowhere (other than to many doctors trying to have Lili locked up as a pervert and/or lunatic). Her voyage of self-discovery will ultimately lead to her undergoing the first ever sex-change operation.",fictitious love story loosely inspired life danish artist lili elbe gerda wegener lili gerda marriage work evolve navigate lili groundbreaking journey transgender pioneer,action biography drama history romance,tt0810819,d88APYIGkjk,7.1,Tom Hooper,action biography drama history romance
room,2015,"ROOM tells the extraordinary story of Jack, a spirited 5-year-old who is looked after by his loving and devoted mother. Like any good mother, Ma dedicates herself to keeping Jack happy and safe, nurturing him with warmth and love and doing typical things like playing games and telling stories. Their life, however, is anything but typical--they are trapped--confined to a 10-by-10-foot space that Ma has euphemistically named Room. Ma has created a whole universe for Jack within Room, and she will stop at nothing to ensure that, even in this treacherous environment, Jack is able to live a complete and fulfilling life. But as Jack's curiosity about their situation grows, and Ma's resilience reaches its breaking point, they enact a risky plan to escape, ultimately bringing them face-to-face with what may turn out to be the scariest thing yet: the real world.",young boy raised within confines small shed,drama,tt3170832,-5UvJw7d1Vk,8.2,Lenny Abrahamson,drama
theory of obscurity: a film about the residents,2015,"Theory of Obscurity tells the story of the renegade sound and video collective known as The Residents. A story that spans 40 years and is clouded in mystery. Many details surrounding the group are secret, including the identities of its members. Our film takes viewers inside this incredibly private group with unprecedented access to their archives and their recent 40th anniversary tour. The Residents have released more than 60 albums, performed all over the world and inspired many people to be weird, take chances and find their own voice. Now, our film will introduce The Residents to a whole new generation.",theory obscurity tell story renegade sound video collective known resident story span year clouded mystery many detail surrounding,action comedy documentary history music,tt2833768,Ov5EqmOeuPY,6.9,Don Hardy Jr.,action comedy documentary history music
code 46,2003,"Code 46 is a love story set in a Brave New World-type near-future where cities are heavily controlled and only accessible through checkpoints. People cannot travel unless they have ""papeles"" (papers in Spanish; words and sentences in many languages, especially Spanish, French and Chinese are mixed with English in this new world), a special travel permit issued by the totalitarian government, the ""Sphinx"". Outside these cities, the desert has taken over and shanty towns are jammed with non-citizens - people without IDs forced to live primitive lives. William is a family man who works as a government investigator. When he is sent to Shanghai to solve a case of fake IDs, he meets a woman named Maria. Although he realizes she is behind the forgeries, he cannot help but fall completely in love with her. He hides her crime and they have a wild, passionate affair that can only last as long as his visa: 24 hours. Back home, William is obsessed with the memory of Maria. When the original ...",futuristic brief encounter 1945 love story romance doomed genetic incompatibility,action drama romance sci-fi thriller,tt0345061,-qP9dkJuRxk,6.2,Michael Winterbottom,action drama romance sci-fi thriller
coconut hero,2015,"In the middle of Nowheresville lives 16-year-old Mike who wants out of his crappy life - permanently! Spending his time devising ways to do himself in, he considers the fatal brain tumor in his head as a godsend. That changes when he meets a girl and falls in love for the first time - without even knowing what love is.",middle nowheresville life year old mike want crappy life permanently spending time devising way considers fatal brain tumor,action comedy drama,tt4246854,nt95FCJHRRw,6.3,Florian Cossen,action comedy drama
lego dc comics super heroes: justice league - cosmic clash,2016,"Can the Justice League prevail against an unstoppable intergalactic machine with the power to bend time itself!? Until now, the Justice League has triumphed over every foe who has challenged them. This time, they face Brainiac, a super-intelligent invulnerable machine whose mad quest endangers all life in the galaxy. When Brainiac zaps Superman, Wonder Woman and Green Lantern to different places in time, the race is on for Batman and The Flash to re-assemble the Justice League!",brainiac zap superman wonder woman green lantern batman flash back time save,action adventure animation comedy family,tt5251438,c1pZ7iZxkJU,6.5,Rick Morales,action adventure animation comedy family
metallica through the never,2013,"Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.",trip young roadie metallica sent urgent mission band show seems like simple assignment turn surreal adventure,action music,tt2172935,N4IhWJ8r7_4,7.2,Nimród Antal,action music
going clear: scientology & the prison of belief,2015,"A devastating two hour documentary based on Lawrence Wright's book of the same name. Scientology is laid bare by a film that skilfully knits together archive footage, testimonials from former high ranking officials and public, and dramatic reconstructions.",documentary looking inner working church scientology,action documentary,tt4257858,ixgd38EZIR0,8.0,Alex Gibney,action documentary
slither,2006,"In this blend of the B movie classic The Blob (1958), and some Romero's zombies film, a meteorite collides in a small town. Grant finds it, and is infected by a parasite worm, which installs in his brain and causes him a creepy transformation into a monster. Starla, his wife, and Bill, a policeman, will try to stop him and the plague of worms generated by the creature.",small town taken alien plague turning resident zombie form mutant monster,action comedy horror sci-fi,tt0439815,2-f8wU6Fpeo,6.5,James Gunn,action comedy horror sci-fi
creed,2015,"Adonis Johnson is the son of the famous boxing champion Apollo Creed, who died in a boxing match in Rocky IV (1985). Adonis wasn't born until after his father's death and wants to follow his fathers footsteps in boxing. He seeks a mentor who is the former heavyweight boxing champion and former friend of Apollo Creed, the retired Rocky Balboa. Rocky eventually agrees to mentor Adonis. With Rocky's help they hope to get a title job to face even deadlier opponents than his father. But whether he is a true fighter remains to be seen....",former world heavyweight champion rocky balboa serf trainer mentor adonis johnson son late friend former rival apollo creed,action drama sport,tt3076658,fCBzWLVQgk8,7.6,Ryan Coogler,action drama sport
moonwalkers,2015,"What if Apollo 11 never actually made it? What if, in reality, Stanley Kubrick secretly shot the famous images of the moon landing in a studio, working for the US administration? This is the premise of a totally plausible conspiracy theory that takes us to swinging sixties London, where a stubborn CIA agent will never find Kubrick but instead is forced to team up with a lousy manager of a seedy rock band to develop the biggest con of all time, in this riotous, high-tempo action-comedy.",failing locate legendary stanley kubrick unstable cia agent must instead team seedy rock band manager develop biggest con time staging moon landing,action comedy,tt2718440,5J4vTI0Qr5k,6.1,Antoine Bardou-Jacquet,action comedy
my all-american,2015,"What Freddie Steinmark (Finn Wittrock) wants most in the world is to play football. Although he is deemed too small by the usual athletic standards, his father trains him hard. Freddie brings a fight to the game that ultimately gets him noticed--by none other than legendary University of Texas coach Darrell Royal (Aaron Eckhart). Awarded a scholarship and a chance to play for the Longhorns, Freddie sets off to Austin with his loving high school sweetheart, Linda (Sarah Bolger), determined to make the team. Alongside his old teammate Bobby Mitchell (Rett Terrell) and new pal James Street (Juston Street), Freddie is put through the paces of a grueling practice schedule. The boys' camaraderie off the field translates into solid playing on it, and they rise up the depth charts, giving the Longhorns a real chance to improve upon their mediocre record. But just when they're reveling in the success of the season, Freddie suffers an injury that leads to a shocking diagnosis and the biggest ...",freddie steinmark underdog gridiron face toughest challenge life leading team championship season,action biography drama sport,tt3719896,udOir1ucj38,7.2,Angelo Pizzo,action biography drama sport
spotlight,2015,"When the Boston Globe's tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world.",true story boston globe uncovered massive scandal child molestation cover within local catholic archdiocese shaking entire catholic church core,action biography crime drama history,tt1895587,EwdCIpbTN5g,8.1,Tom McCarthy,action biography crime drama history
the lobster,2015,"A love story set in a dystopian near future where single people are arrested and transferred to a creepy hotel. There they are obliged to find a matching mate in 45 days. If they fail, they are transformed into an animal and released into the woods.",dystopian near future single people according law city taken hotel obliged find romantic partner forty five day transformed beast sent wood,action comedy drama romance sci-fi,tt3464902,TR_NcqD-Gfs,7.1,Yorgos Lanthimos,action comedy drama romance sci-fi
secret in their eyes,2015,"2002: Ray Kasten (Chiwetel Ejiofor) and Jess Cobb (Julia Roberts) are two investigators in a private police unit led by the DA. When they receive an anonymous tip about a girl raped and killed, they rush to the scene. Ray realizes it is Jess' daughter and the team falls apart due to the grief. In 2015, Ray comes back to LA, and says that after 13 years, he has found a lead and convinces the DA to reopen the case. They find clues and leads unknown to them, and secrets from the past come to light as they start discovering the real, chilling truth. Meanwhile, Jess, dissatisfied with the law, decides to take matters into her own hands and track down the killer, no matter what lengths she has to go to.",tight knit team rising investigator along supervisor suddenly torn apart discover one teenage daughter brutally murdered,action crime drama mystery thriller,tt1741273,N3b0PFCrayE,6.3,Billy Ray,action crime drama mystery thriller
a mighty wind,2003,"When folk icon Irving Steinbloom passed away, he left behind a legacy of music and a family of performers he has shepherded to folk stardom. To celebrate a life spent submerged in folk, Irving's loving son Jonathan has decided to put together a memorial concert featuring some of Steinbloom's best-loved musicians. There's Mitch and Mickey, who were the epitome of young love until their partnership was torn apart by heartbreak; classic troubadours The Folksmen, whose records were endlessly entertaining for anyone able to punch a hole in the center to play them; and The New Main Street Singers, the most meticulously color-coordinated neuftet ever to hit an amusement park. Now for one night only in New York City's Town Hall, these three groups will reunite and gather together to celebrate the music that almost made them famous.",mockumentary capture reunion 1960s folk trio folksmen prepare show town hall memorialize recently deceased concert promoter,action comedy music,tt0310281,ujUehfDYkfU,7.3,Christopher Guest,action comedy music
unreal,2015,Follows several individuals breaking out of their mundane lives and entering into the adventurous thrill-seeking world of mountain biking.,follows several individual breaking mundane life entering adventurous thrill seeking world mountain biking,action comedy documentary sport,tt5180998,zyU6iqiDF_M,7.2,Colin Jones,action comedy documentary sport
the devil's rejects,2005,"In Ruggsville, Texas, the police under the command of Sheriff John Quincy Wydell attack the house of the sadistic serial killers Firefly family (a.k.a. The Devil's Reject) and they arrest mother Firefly, but Otis B. Driftwood and Baby Firefly escape from the siege. Tiny is wandering nearby the house and also escapes. Otis and Baby call their patriarch, the mad clown Captain Spaulding and they schedule to reunite at an isolated motel in the desert. When Otis and Baby arrive, they kidnap two families of singers, using sadism and violence against the harmless persons. Meanwhile, Sheriff Wydell promises to capture and kill the runaways, seeking revenge for the death of his brother, the Deputy George Wydell.",murderous backwoods firefly family take road escape vengeful police force afraid ruthless target,action crime drama horror thriller,tt0395584,CvUyMfkMij0,6.9,Rob Zombie,action crime drama horror thriller
in absentia,2000,"A woman sits alone on a chair at a table in a room on one of the top floors of an asylum. Bright spot lights dot the night, sometimes shining on her window. She sharpens pencils and writes on a page in a copy book. The pencil point often breaks under her fingers' force. She places broken points outside the window on the sill. A satanic figure is somewhere nearby, animated but of straw or clay, not flesh. She finishes her writing, tears the paper from the pad, folds it, places it in an envelope, and slips it through a slot. Is she writing to her husband? ""Sweetheart, come.""",woman sits alone chair table room one top floor asylum bright spot light dot night sometimes shining window sharpens pencil writes,action animation,tt0266643,dtT3e3exJA0,7.0,Stephen Quay,action animation
the good dinosaur,2015,"""The Good Dinosaur"" asks the question: What if the asteroid that forever changed life on Earth missed the planet completely and giant dinosaurs never became extinct? In this epic journey into the world of dinosaurs, an Apatosaurus named Arlo makes an unlikely human friend. While travelling through a harsh and mysterious landscape, Arlo learns the power of confronting his fears and discovers what he is truly capable of.",world dinosaur human live side side apatosaurus named arlo make unlikely human friend,action adventure animation comedy drama,tt1979388,7BrH72aFXfI,6.7,Peter Sohn,action adventure animation comedy drama
where hope grows,2014,A baseball player whose professional career was cut short due to his personal problems is suddenly awakened and invigorated by a young-man with Down syndrome who works at the local grocery store.,baseball player whose professional career cut short due personal problem suddenly awakened invigorated young man syndrome work local grocery store,action drama family,tt3200980,-L10tIzZZrA,6.6,Chris Dowling,action drama family
the punisher,2004,"Special agent Frank Castle had it all: A loving family, a great life, and an adventurous job. But when his life is taken away from him by a ruthless criminal and his associates, Frank has become reborn. Now serving as judge, jury, and executioner, he's a new kind of vigilante out to wage a one man war against those who have done him wrong.",undercover fbi agent becomes vigilante assassin set unleash wrath upon corrupt businessman slaughtered entire family reunion,action adventure crime drama romance,tt0330793,sICPkdKqRFY,6.5,Jonathan Hensleigh,action adventure crime drama romance
a ballerina's tale,2015,"A feature documentary on African American ballerina Misty Copeland that examines her prodigious rise, her potentially career ending injury alongside themes of race and body image in the elite ballet world.",feature documentary african american ballerina misty copeland examines prodigious rise potentially career ending injury alongside theme race body image elite ballet world,action documentary,tt4504040,6Y2h6fz2XzQ,6.4,Nelson George,action documentary
trumbo,2015,"In 1947, Dalton Trumbo (Bryan Cranston) was Hollywood's top screenwriter until he and other artists were jailed and blacklisted for their political beliefs. TRUMBO (directed by Jay Roach) recounts how Dalton used words and wit to win two Academy Awards and expose the absurdity and injustice under the blacklist, which entangled everyone from gossip columnist Hedda Hopper (Helen Mirren) to John Wayne, Kirk Douglas and Otto Preminger.",1947 dalton trumbo hollywood top screenwriter artist jailed blacklisted political belief,action biography crime drama,tt3203606,n0dZ_2ICpJE,7.5,Jay Roach,action biography crime drama
steve jobs,2015,"His passion and ingenuity have been the driving force behind the digital age. However his drive to revolutionize technology was sacrificial. Ultimately it affected his family life and possibly his health. In this revealing film we explore the trials and triumphs of a modern day genius, the late CEO of Apple inc. Steven Paul Jobs.",steve job take behind scene digital revolution paint portrait man epicenter story unfolds backstage three iconic product launch ending 1998 unveiling imac,action biography drama history,tt2080374,aEr6K1bwIVs,7.2,Danny Boyle,action biography drama history
dragon ball z: resurrection 'f',2015,"After the god of destruction Beerus decided to not destroy the earth, the planet is back again in peace. But, Sorbet and Tagoma, previous Freeza's servants, decide to revive his leader using the Dragon Balls. Succesful in his plan, Freeza decides to return to earth to start his revenge against the saiyans who humillated him once.",one peaceful day earth two remnant frieza army named sorbet tagoma arrive searching dragon ball aim reviving frieza succeed frieza subsequently seek revenge saiyans,action adventure animation comedy fantasy,tt3819668,WiONylGn8Xw,7.4,Tadayoshi Yamamuro,action adventure animation comedy fantasy
the 33,2015,"Based on the real-life event, when a gold and copper mine collapses, it traps 33 miners underground for 69 days.",based real life event gold copper mine collapse trap miner underground day,action biography drama history,tt2006295,lGGAcEpjsD4,6.9,Patricia Riggen,action biography drama history
the producers,2005,"New York, 1959. Max Bialystock was once the king of Broadway, but now all his shows close on opening night. Things turn around when he's visited by the neurotic accountant Leo Bloom, who proposes a scheme tailor-made for producers who can only make flops: raise far more money than you need, then make sure the show is despised. No one will be interested in it, so you can pocket the surplus. To this end, they produce a musical called Springtime for Hitler",putting together another broadway flop luck producer max bialystock team timid accountant leo bloom get rich quick scheme put world worst show,action comedy musical,tt0395251,VzF4N0StVes,6.4,Susan Stroman,action comedy musical
porcupine tree: anesthetize,2010,"Anesthetize is the second live DVD by progressive rock band Porcupine Tree, released on 20 May 2010. The Blu-ray edition was released on 15 June.",anesthetize second live dvd progressive rock band porcupine tree released may 2010 blu ray edition released june,action music,tt1626645,8SNpqgRz3oU,8.5,Lasse Hoile,action music
hyena road,2015,"Three different men, three different worlds, three different wars - all stand at the intersection of modern warfare - a murky world of fluid morality where all is not as it seems.",three different men three different world three different war stand intersection modern warfare murky world fluid morality seems,action drama war,tt4034452,fi3sjMZ6cP0,6.5,Paul Gross,action drama war
all things must pass: the rise and fall of tower records,2015,"Established in 1960, Tower Records was once a retail powerhouse with two hundred stores, in thirty countries, on five continents. From humble beginnings in a small-town drugstore, Tower Records eventually became the heart and soul of the music world, and a powerful force in the music industry. In 1999, Tower Records made $1 billion. In 2006, the company filed for bankruptcy. What went wrong? Everyone thinks they know what killed Tower Records: The Internet. But that's not the story. ""All Things Must Pass"" is a feature documentary film examining this iconic company's explosive trajectory, tragic demise, and legacy forged by its rebellious founder Russ Solomon.",thing must pas documentary explores rise fall tower record legacy forged rebellious founder rus solomon,action documentary history music,tt3272570,DAepjF6_N68,7.3,Colin Hanks,action documentary history music
martyrs,2008,"Fifteen years after a horrifying experience of abduction and prolonged torture, Lucie embarks on a bloody quest for revenge against her oppressors. Along with her childhood friend, Anna, who also suffered abuse, she quickly descends, without hope, into madness and her own delusions. Anna, left on her own begins to re-experience what Lucie did when she was only twelve years old.",young woman quest revenge people kidnapped tormented child lead friend also victim child abuse terrifying journey living hell depravity,action drama horror mystery,tt1029234,-7Qx2dT-lUw,7.1,Pascal Laugier,action drama horror mystery
grandma,2015,"Lily Tomlin stars as Elle who has just gotten through breaking up with her girlfriend when Elle's granddaughter Sage unexpectedly shows up needing six hundred dollars before sundown. Temporarily broke, Grandma Elle and Sage spend the day trying to get their hands on the cash as their unannounced visits to old friends and flames end up rattling skeletons and digging up secrets.",teenager facing unplanned pregnancy seek help acerbic grandmother woman long estranged daughter,action comedy drama,tt4270516,I0hJ7NHDglU,6.7,Paul Weitz,action comedy drama
glory road,2006,"In 1965, the coach of the high school girl basketball team Don Haskins is invited by the Texas Western Miners to be their coach. Despite the lack of budget, Haskins sees the chance to dispute the NCAA and moves with his wife and children to the college dormitory. He recruits seven talented and rejected black players to play with five Caucasian players and formed a legendary team that won the 1966 national championship against the powerful Kentucky.",1966 texas western coach haskins led first black starting line college basketball team ncaa national championship,action biography drama sport,tt0385726,uEd69QSBI0s,7.2,James Gartner,action biography drama sport
oddball and the penguins,2015,"The true story about an eccentric chicken farmer (Shane Jacobson) who, with the help of his granddaughter, trains his mischievous dog Oddball to protect a wild penguin sanctuary from fox attacks and in the process tries to reunite his family and save their seaside town.",eccentric chicken farmer help granddaughter train mischievous dog oddball protect penguin sanctuary fox attack attempt reunite family save seaside town,action adventure family,tt3401748,P7AV2ZYlxvI,6.4,Stuart McDonald,action adventure family
miss you already,2015,"Milly and Jess have been best friends forever. They've shared everything since they were kids - secrets, clothes, laughs, substances, boyfriends... now they are trying to be grown-ups. Milly has a high-flying job and lives in a beautiful townhouse with husband Kit and their two kids. Jess is a town planner and she and her boyfriend Jago live on a bohemian houseboat on a London canal. Their friendship is as rock solid as ever. That is until Jess struggles to have a much longed-for baby and Milly finds out she has breast cancer. How do you share that?",friendship two life long girlfriend put test one start family fall ill,action comedy drama romance,tt2245003,K5LdNvLXddA,6.8,Catherine Hardwicke,action comedy drama romance
that evening sun,2009,"An aging Tennessee farmer returns to his homestead and must confront a family betrayal, the reappearance of an old enemy, and the loss of his farm.",aging tennessee farmer return homestead must confront family betrayal reappearance old enemy loss farm,action drama,tt1114680,tq4KnreDMgQ,7.1,Scott Teems,action drama
